,portfolio_return
2013-03-06,0.0005205945947356293
2013-03-13,0.0001155569216044006
2013-03-20,0.002433496288496536
2013-03-27,-0.008508904675806681
2013-04-04,0.003195710359373475
2013-04-11,-0.023266917804618443
2013-04-18,0.0009032234623927289
2013-04-25,-0.0013377122237228744
2013-05-02,0.003760734558313575
2013-05-09,-0.004545588535299411
2013-05-16,-0.0013043274085491653
2013-05-23,0.005393025492889603
2013-05-31,0.00023087770645172014
2013-06-07,-0.01999015698448526
2013-06-14,0.004627914146838919
2013-06-21,-0.010652591928798607
2013-06-28,0.007830357280617152
2013-07-08,0.014952062605380633
2013-07-15,0.0009258693432750519
2013-07-22,-0.01181303624459986
2013-07-29,-0.005831565880801641
2013-08-05,0.0023118756252794932
2013-08-12,-0.0007671457820042436
2013-08-19,-0.007696726035315275
2013-08-26,0.018973584635409244
2013-09-03,0.002623356674467761
2013-09-10,0.005833978110717498
2013-09-17,-0.002233961330279044
2013-09-24,-0.006517297690115001
2013-10-01,-0.00787059108953669
2013-10-08,0.027846355077434777
2013-10-15,0.014703270470990827
2013-10-22,0.007827435872167157
2013-10-29,-0.0206884399766346
2013-11-05,-0.0032784369036259107
2013-11-12,0.01702089354853205
2013-11-19,0.011992258464987835
2013-11-26,-0.004331877343208078
2013-12-04,0.01137933002145405
2013-12-11,-0.004551175824971005
2013-12-18,0.019973355612254152
2013-12-26,-0.007530479973397559
2014-01-03,0.0029454822710414837
2014-01-10,0.0059265418066242965
2014-01-17,0.003655427026955697
2014-01-27,-0.007619074742082238
2014-02-03,-0.011848341018019792
2014-02-10,-0.015490494575185143
2014-02-18,0.009552655705336234
2014-02-25,0.0361125343299537
2014-03-04,-0.019964223154392606
2014-03-11,-0.009742842792254545
2014-03-18,-0.008238283780917607
2014-03-25,0.007190276497127206
2014-04-01,-0.021610120008786173
2014-04-08,-0.02688964505682985
2014-04-15,0.025368040717988597
2014-04-23,-0.010409452307100818
2014-04-30,0.002719415079212158
2014-05-07,0.011148880444875532
2014-05-14,-0.0019080428867825677
2014-05-21,0.005157143773149909
2014-05-29,-0.012118376118147976
2014-06-05,0.01934572444914213
2014-06-12,0.012391551694454453
2014-06-19,-0.010746821471192792
2014-06-26,0.0016731567542205
2014-07-03,-0.008330880214673203
2014-07-11,-0.007979477121701948
2014-07-18,0.0016666307051302059
2014-07-25,-0.0020104699135018813
2014-08-01,0.003676860628788942
2014-08-08,-0.011941578940195744
2014-08-15,-0.006832703231433917
2014-08-22,0.007695717087555358
2014-08-29,-0.006081590144590825
