trial,alpha_ann,alpha_t,r_squared,sharpe
63,0.43117550207182337,1.6415013027772247,0.06290152639550284,0.6722935990980783
64,0.379436531978401,1.3840123498257695,0.06216378817402868,0.6304126419541131
65,0.42195601051190773,1.5044876880631677,0.043652109981479836,0.6859363906774691
66,0.49748131806659796,1.7570806383839639,0.046094860362023704,0.7928044366371094
67,0.39278673257731644,1.5064937831268035,0.03106350864949603,0.599316656306961
68,0.4593746420083463,1.7349023105028267,0.024465902604570267,0.703525678607334
69,0.3395506876787089,1.3080133527637505,0.039031639110975735,0.5528325233727297
70,0.39953481630312004,1.5849322309394076,0.04809395053993548,0.6538398594606357
71,0.47424885803277694,1.6954035046409628,0.03947618743293879,0.7366625652838615
72,0.33708447767524813,1.2823150632241063,0.04245372351736176,0.5667704266709181
73,0.43653007447028586,1.6669940717852179,0.06249657530560426,0.675432591309564
74,0.3546834238842212,1.3007163712882006,0.02860464621698422,0.568544411471575
75,0.48958209460274127,2.0237623623976764,0.03624724155364678,0.7863854329827203
76,0.329406556718283,1.2106246604646402,0.0341338186518414,0.5144056876940135
77,0.39367719708868526,1.6386550614539912,0.036202379896017045,0.6670052692554893
78,0.3820736092250977,1.4933841915032893,0.04767860828365922,0.5980121534448182
79,0.3280471750964797,1.2519200968785562,0.03648360584345911,0.5177273486994244
80,0.4939169746974085,1.9934865617538908,0.03560188682821097,0.8472265157633253
81,0.45524446579393246,1.7239869073916778,0.048099786879583384,0.7351769016515608
82,0.20975927248859685,0.8585703844001142,0.024560194890929088,0.3394741239779177
83,0.4707747623133299,1.8336466455167786,0.03213677016605421,0.7252093091540579
84,0.4017633733006671,1.6385881959752295,0.05333072122986382,0.636620842432858
85,0.2454038066692881,0.9930071426361977,0.03534401029922518,0.4019771445060229
86,0.3860534862704722,1.56188792242415,0.04582935426385859,0.650100276271791
87,0.3501979922318051,1.411450886838858,0.0414057597141807,0.5705809466337982
88,0.5060158104931192,1.7154213997204915,0.022193765127246134,0.7691027727058828
89,0.35439637391983697,1.3535131162639404,0.03428322171357334,0.5827804392304983
90,0.1929228913115956,0.7355174067628876,0.022678591240615553,0.31407558724481477
91,0.277110482649959,1.1828523003700717,0.06487795045554345,0.5102687970645666
92,0.42054530183057626,1.5790513441968927,0.053205524075065624,0.7207248952843296
93,0.37843139499432,1.5509065981710526,0.03717059248916299,0.6114769605892589
94,0.41655807447341764,1.6957974943924312,0.04445969824212537,0.6897106591992996
95,0.3994186571063536,1.5266106349880788,0.056066336529433825,0.6443139861246144
96,0.32601298346156005,1.2612743974830882,0.0374049803242279,0.5150498677940398
97,0.3602116015423243,1.4274761921180683,0.04175601171797494,0.6265551407658776
98,0.49380889246586246,1.8549873331897047,0.05113132261673903,0.7864240037821357
99,0.29887616329940175,1.1027446997267514,0.04461925180809034,0.49053488115232907
100,0.3913401403621918,1.538383211467628,0.02841289693630389,0.6223211089717756
101,0.49875977862694104,1.9001102338120115,0.03722032279480503,0.8216948687595107
102,0.3078677374690768,1.2765110869604364,0.032274647073192386,0.5312784100712832
103,0.382856606001364,1.5488234047595812,0.03962447818397696,0.6457646842560901
104,0.2963262506540381,1.1931058018712655,0.06274659265435256,0.49324227524432895
105,0.39818071689399726,1.5696313839806766,0.05957822789162204,0.6679552469921961
106,0.4164986856651367,1.497112744074508,0.027010579702258397,0.6720243945650737
107,0.4036142402883372,1.6549525591999066,0.02089742504233061,0.6986440914230071
108,0.47853771615825463,1.9022385907248325,0.06594658128807795,0.8109126836883814
109,0.470924367259681,1.841300700055668,0.04922181528453207,0.7389139090945714
110,0.4400020123285655,1.571184957277425,0.03228953244128174,0.704333964486496
111,0.33571899085338636,1.382320636634131,0.04676678206169893,0.5561009173964199
112,0.5450361200204503,2.242030072207958,0.03390536420710877,0.8796341852315461
113,0.27872012296294846,1.0616789353833487,0.04036712682896526,0.47357499779338186
114,0.48140683558594116,1.8363660353018267,0.03200469577984366,0.7594979822065676
115,0.568073191219699,2.126418960329179,0.03752729321024573,0.889970664572535
116,0.4514762833195817,1.70697752304295,0.030304341005407243,0.7462296354141716
117,0.2866531809824581,1.166130226029293,0.0253682713624217,0.4961406162893433
118,0.4714135047591784,1.928138164815506,0.026103461116745996,0.7715181559199563
119,0.3468124900565897,1.4106340303800493,0.049450602673227095,0.5523476569769546
120,0.4027509399824382,1.5393779135876242,0.05435386157907107,0.627137558198958
121,0.3586061741248485,1.32792248124471,0.030374521143515354,0.5887735202176537
122,0.42072968758531687,1.6221582377956527,0.04529234381941327,0.6835399177751229
123,0.4334963568841781,1.5928473612750291,0.031548583171086775,0.6714505957747409
124,0.41153632949333446,1.5585765402017222,0.022095586745716322,0.6421342497077245
125,0.46212356902538343,1.6880634568771777,0.04534348022908019,0.7220665012687207
126,0.49008770766332554,1.8390672909472925,0.061422531398957814,0.7858445764181226
127,0.40640018870416683,1.5924148261355988,0.04084094022685725,0.675801854990069
128,0.38674982643910016,1.5609864496418988,0.052147993173350504,0.624947986075618
129,0.3765034183204145,1.5138317464103215,0.06303943733269302,0.613514748038947
130,0.34150398455789077,1.3395924852443182,0.02385940702487188,0.563634978628594
131,0.3216946569133486,1.210743633831496,0.03886768346471281,0.5366146470187302
132,0.35943693116356323,1.3937305620179106,0.0386575569603923,0.606874750678124
133,0.357324228479031,1.3534821616533474,0.07177899682583266,0.6064633285698421
134,0.4356510149297538,1.6130211613317398,0.04402304016245606,0.6520291219024638
135,0.3554851547887204,1.331582121250438,0.027626683090681614,0.591236167469333
136,0.3547751140700656,1.391306494485783,0.03427615600124945,0.5850586434736308
137,0.46516769912415784,1.662356909436042,0.042604863944807336,0.7026654522824443
138,0.4305283773828446,1.6087941275050917,0.02987776045785895,0.6841548810231223
139,0.35104976572252955,1.4126699511383238,0.03491330884546562,0.591808389192251
140,0.37992694430447554,1.3943904456278926,0.03577223516088812,0.6000237103353491
141,0.41459158961272163,1.5989535485579516,0.04646057635120271,0.6928806726535364
142,0.45981332719442763,1.8363786239641098,0.0365234311417294,0.7489293583432721
143,0.4785278166995821,1.7237776364696609,0.04895268089576432,0.7738949126089956
144,0.32749329063575777,1.2742112423715448,0.03699551461237338,0.5406281599171926
145,0.41267501088594205,1.6278027322989783,0.04142595188331277,0.6927792999789407
146,0.36305965170889665,1.4676436044007068,0.026335148455164714,0.6015184167845317
147,0.45215965951726844,1.6711802762740988,0.034968657281099325,0.7123628975656012
148,0.4179849236816477,1.6105435516808213,0.02369048045422717,0.6948822191221201
149,0.3632331990280424,1.4160113769201645,0.05424024634249469,0.606597055689083
150,0.330492977879946,1.3175615033276953,0.016791116814997453,0.5650205256272475
151,0.3483872738387285,1.4293689530480045,0.02998329691105117,0.5768013313206827
152,0.4203255571389026,1.5667035923785593,0.03258068617257193,0.6606954437643527
153,0.29928606561411075,1.1481690676101906,0.06735198851311641,0.5255615207310592
154,0.385860986510883,1.5225086699222576,0.05524184114984032,0.6618052205967057
155,0.36759524043785635,1.4104093840418797,0.07110084636789427,0.6265941072406163
156,0.4886863052879614,1.8310239699103366,0.03439100496794523,0.7811196814512797
157,0.46587320733234977,1.7397667321651076,0.06166064224522794,0.730397540411951
158,0.3475568298520579,1.3114280845410065,0.06858712231369724,0.5772288992682215
159,0.3196147612619511,1.2859540991422909,0.07242724888390983,0.5588998990893549
160,0.4075368091228819,1.6666131993205116,0.03427085427404786,0.6787882235865249
161,0.32019158100948414,1.2421289030514084,0.03359845696018193,0.5240678524276008
162,0.4282693983462011,1.6037483966833668,0.030110219772810254,0.682116866780063
163,0.4509227024145663,1.3861453420212246,0.05703718337696806,0.669827961188106
164,0.3908483553376483,1.4537527295774684,0.06367192613136274,0.6891982047754222
165,0.40194307592417944,1.5397598203623197,0.05664613090405224,0.6521254919401611
166,0.37435224250503724,1.4904284940864496,0.05576516186178959,0.6169149321211554
167,0.4721047854016439,1.6881029661136449,0.06163163770186575,0.7749668241850255
168,0.37043907054379155,1.5624953708570024,0.03012326863006065,0.623729777197719
169,0.3973520813363322,1.5256111174564553,0.049295971798693716,0.655838426857674
170,0.4158863280044768,1.5458496824733012,0.05234956683718117,0.6793912921759634
171,0.3400510129681826,1.4080856198186882,0.028536443008722046,0.5594490496115485
172,0.4752112419922783,1.7193809774141287,0.05421284881712163,0.7644610295859686
173,0.3875742516188214,1.4174717223105733,0.06775181526073759,0.6350306702476942
174,0.3636198193576407,1.4702344682862791,0.04673506275009265,0.6121891124477801
175,0.30935685011191594,1.1568730901230628,0.03906659254418343,0.5211735988430832
176,0.49598122885275914,1.7584172971266296,0.04725543928931619,0.787357659612244
177,0.4506482483188355,1.6995490381621638,0.0375958903682484,0.68531965953159
178,0.501319569491106,1.8150551013523384,0.04514475172847321,0.8084525377997662
179,0.4065521247082725,1.5913681143574614,0.050544908023280155,0.6785704731301667
180,0.3722797509624789,1.367975712579714,0.031442514675710465,0.5553823386673437
181,0.380196100253682,1.326460887795469,0.03833582070638397,0.6287109843624867
182,0.2747660382080169,1.0832110177812015,0.03148174095575362,0.42372552197746094
183,0.3353778187438045,1.279071458570796,0.054339449112164484,0.5737686413890907
184,0.45960816660244125,1.7193850173955987,0.03979351536490283,0.7321535767387743
185,0.4676444593410966,1.7666129567253843,0.029176892239929253,0.7511771397745576
186,0.3691469047076705,1.4483907918091403,0.03479091243201027,0.5968851530280983
187,0.36864861732859455,1.5850101970770687,0.03410082183046759,0.6020345160116328
188,0.4208409246136925,1.742824512131478,0.04260631966554573,0.7121102790054857
189,0.37000036531503716,1.5183257909610406,0.03993358390089696,0.6108297126035477
190,0.35754529340882235,1.5343942750997974,0.02983537752525789,0.5675200412640942
191,0.44576737918218123,1.624073337988393,0.04137220719699963,0.7307925190229765
192,0.4305300492181966,1.6368976845658216,0.04048605996196175,0.7154122236300601
193,0.2940850587265498,1.281642710323482,0.028018209002350303,0.520322774555941
194,0.395952351967521,1.5820007378884497,0.02940511281369218,0.6778086237444864
195,0.47128803195890917,1.716703055445832,0.046495359390291924,0.7261806794341785
196,0.3800895160649009,1.439592456856749,0.03673728854482872,0.6058803386469741
197,0.4731744310954753,1.8114882714139176,0.03969965914654172,0.7533320569231826
198,0.327295693652126,1.320187245551542,0.053629875663081084,0.5802901791464573
199,0.4191514935211892,1.715820617839253,0.04278249774006093,0.6948841930661025
200,0.37037633673878284,1.5166103773895245,0.044786671338148065,0.5948348889641696
201,0.3742965419644453,1.4681842351396304,0.028015174924787667,0.6023782439762588
202,0.47424424097709317,1.896444681269945,0.03204767092062133,0.7977248716589841
203,0.4487270121768347,1.7027684968771961,0.050553815177518224,0.7097384983333465
